"participle","order","country","edited"
"gedaan","green","BE",FALSE
"rechtgezet","red","BE",TRUE
"gestart","red","NL",TRUE
"gebleven","green","NL",TRUE
"gezien","green","BE",TRUE
"gedaan","red","BE",TRUE
"gezet","green","NL",FALSE
"bedolven","green","BE",TRUE
"gehad","red","NL",TRUE
"geselecteerd","green","BE",TRUE
"geschopt","green","BE",TRUE
"verteld","red","BE",TRUE
"geweest","green","BE",FALSE
"geschreven","red","BE",FALSE
"overgehouden","red","NL",TRUE
"gehoord","red","BE",TRUE
"opgepakt","red","BE",TRUE
"geplaagd","red","BE",TRUE
"genoten","red","NL",TRUE
"gereden","red","BE",TRUE
"opgesteld","red","BE",TRUE
"opgestaan","red","NL",TRUE
"gedaan","green","NL",TRUE
"geweten","red","NL",TRUE
"aangereden","red","BE",TRUE
"geslaagd","red","NL",TRUE
"gesnapt","green","BE",TRUE
"genoemd","red","BE",TRUE
"ingezameld","green","BE",TRUE
"geworden","green","BE",TRUE
"gekomen","red","BE",FALSE
"verkocht","red","BE",TRUE
"gebeurd","red","BE",TRUE
"getikt","green","NL",TRUE
"uitgevochten","red","BE",TRUE
"bijgewoond","red","NL",TRUE
"begraven","green","NL",TRUE
"gestolen","green","BE",TRUE
"vernomen","red","NL",TRUE
"gedaan","red","NL",FALSE
"gekregen","red","BE",TRUE
"geboren","green","BE",TRUE
"opgenomen","red","NL",TRUE
"gezocht","red","BE",TRUE
"verheven","green","BE",FALSE
"verdiend","red","BE",TRUE
"behandeld","green","BE",TRUE
"gestreken","green","BE",TRUE
"beslist","green","BE",TRUE
"gelopen","green","BE",TRUE
"vastgelegd","red","BE",TRUE
"gehandeld","green","BE",TRUE
"geholpen","red","NL",FALSE
"begonnen","red","BE",FALSE
"gevonden","green","BE",FALSE
"gegooid","red","NL",FALSE
"gegaan","green","NL",FALSE
"geweest","red","BE",TRUE
"gegeven","red","NL",TRUE
"gesproken","red","NL",TRUE
"gestolen","green","BE",TRUE
"gehoord","red","NL",FALSE
"gedronken","green","NL",FALSE
"betast","red","BE",TRUE
"gebruikt","red","BE",TRUE
"overschat","green","BE",TRUE
"gehad","red","NL",TRUE
"gevolgd","green","BE",TRUE
"verzorgd","green","BE",TRUE
"gebeurd","green","BE",FALSE
"gedaan","red","BE",FALSE
"gekozen","green","BE",TRUE
"vernederd","green","NL",TRUE
"gezet","red","NL",TRUE
"meegemaakt","red","NL",FALSE
"ontvangen","red","BE",TRUE
"aangelegd","red","NL",FALSE
"gezet","red","BE",TRUE
"gedacht","red","BE",FALSE
"gegeven","green","NL",TRUE
"aangedurfd","red","BE",TRUE
"gepakt","green","BE",FALSE
"gepakt","red","BE",TRUE
"achtergelaten","red","NL",TRUE
"opgeborgen","red","BE",TRUE
"afgekoeld","red","BE",TRUE
"geschoten","red","BE",TRUE
"vrijgelaten","red","BE",TRUE
"gevallen","red","BE",TRUE
"gestaan","red","NL",TRUE
"gestolen","red","BE",TRUE
"getrouwd","green","NL",FALSE
"geweest","red","BE",TRUE
"gegeven","green","NL",TRUE
"aangebracht","red","BE",TRUE
"gezien","green","BE",TRUE
"gespeeld","green","NL",TRUE
"gewonnen","green","BE",TRUE
"ingeburgerd","green","BE",TRUE
"gewonnen","green","BE",FALSE
"gedaan","red","NL",TRUE
"ontdekt","green","BE",TRUE
"opgestaan","red","NL",TRUE
"gekocht","red","BE",TRUE
"gezocht","red","NL",FALSE
"achtergelaten","red","BE",TRUE
"gezien","green","BE",FALSE
"gezien","red","BE",TRUE
"geholpen","green","NL",TRUE
"opgelopen","red","BE",TRUE
"meegemaakt","red","BE",FALSE
"vergeten","green","NL",FALSE
"afgestudeerd","green","BE",TRUE
"gebeld","green","BE",TRUE
"betaald","green","BE",FALSE
"geprobeerd","green","NL",FALSE
"gegeven","green","BE",TRUE
"aangeboden","red","BE",TRUE
"gewonnen","green","BE",TRUE
"betrokken","red","BE",TRUE
"verlost","green","NL",TRUE
"gewoond","green","BE",TRUE
"gemaakt","red","BE",TRUE
"uitgezeten","red","NL",TRUE
"geslikt","red","BE",TRUE
"aangevallen","red","BE",FALSE
"binnengekomen","green","BE",TRUE
"opgeruimd","red","BE",TRUE
"beschouwd","green","BE",TRUE
"ingestort","red","BE",TRUE
"gehouden","red","NL",TRUE
"geholpen","green","BE",TRUE
"blootgelegd","red","BE",FALSE
"geweten","red","NL",TRUE
"verteld","red","NL",TRUE
"gekregen","red","BE",TRUE
"geïnteresseerd","red","NL",TRUE
"geweest","red","NL",TRUE
"bereid","red","NL",TRUE
"gedaan","red","BE",TRUE
"afgekeerd","green","NL",TRUE
"meegewerkt","green","NL",FALSE
"gekomen","red","BE",TRUE
"gekozen","red","BE",TRUE
"gehad","red","BE",TRUE
"verkozen","green","BE",TRUE
"uitgepakt","red","NL",TRUE
"gemist","red","NL",TRUE
"gezien","green","BE",TRUE
"vermaakt","green","NL",FALSE
"ontdekt","red","BE",TRUE
"uitgezet","red","NL",TRUE
"gekomen","red","NL",TRUE
"gereageerd","red","NL",FALSE
"geworden","red","BE",TRUE
"gebeten","green","BE",TRUE
"gewonnen","red","NL",TRUE
"geweest","red","BE",TRUE
"gezien","green","BE",TRUE
"geworden","red","NL",TRUE
"geworden","red","NL",TRUE
"voorbereid","red","BE",TRUE
"geïntegreerd","green","BE",TRUE
"begonnen","red","NL",TRUE
"begonnen","green","BE",FALSE
"verdiend","green","BE",FALSE
"gegeven","red","BE",TRUE
"gehandeld","green","BE",TRUE
"gevonden","red","BE",TRUE
"verschuldigd","green","BE",TRUE
"gehad","red","NL",FALSE
"opgebeld","green","BE",TRUE
"ingesteld","red","NL",TRUE
"gekozen","red","BE",TRUE
"gezegd","red","NL",TRUE
"gespeld","green","BE",FALSE
"omgekocht","red","BE",TRUE
"gezien","red","NL",FALSE
"doorgetrokken","green","NL",TRUE
"versterkt","red","BE",TRUE
"verdoofd","green","NL",TRUE
"gezien","green","BE",TRUE
"geweest","red","NL",FALSE
"gevraagd","red","BE",TRUE
"gehad","red","BE",TRUE
"gemaakt","red","BE",TRUE
"vertrokken","red","BE",TRUE
"geweest","red","BE",TRUE
"gevonden","green","NL",TRUE
"bereikt","red","BE",TRUE
"vergeten","red","NL",TRUE
"gezien","red","BE",TRUE
"gemaakt","red","BE",TRUE
"genageld","red","NL",TRUE
"betaald","green","BE",TRUE
"verwacht","red","BE",TRUE
"verlopen","red","NL",TRUE
"gekend","green","BE",TRUE
"gebruikt","red","BE",TRUE
"gebruikt","green","BE",TRUE
"aangehouden","red","BE",TRUE
"gespeeld","green","BE",TRUE
"geflitst","green","BE",TRUE
"gegroeid","green","BE",TRUE
"geworden","green","BE",TRUE
"gehoopt","green","BE",TRUE
"gescheiden","red","BE",TRUE
"gehad","green","NL",FALSE
"gestolen","red","BE",TRUE
"gepasseerd","red","BE",TRUE
"gehad","red","BE",FALSE
"opgezet","green","BE",TRUE
"verboden","green","NL",TRUE
"geworden","red","BE",TRUE
"geweest","green","BE",FALSE
"begonnen","green","BE",FALSE
"gedraaid","green","BE",FALSE
"gezien","green","BE",TRUE
"getest","red","NL",TRUE
"gevraagd","red","BE",FALSE
"geslaagd","red","BE",TRUE
"opgeraapt","red","BE",TRUE
"opgevallen","red","NL",TRUE
"verdreven","red","NL",TRUE
"gestapt","red","NL",TRUE
"overleden","red","NL",TRUE
"geteld","green","BE",FALSE
"gegaan","red","NL",TRUE
"verdacht","green","BE",TRUE
"vastgesteld","red","NL",TRUE
"uitgerekend","red","NL",TRUE
"gekozen","red","NL",TRUE
"gebruikt","green","NL",FALSE
"gereden","green","BE",TRUE
"gesteld","red","NL",TRUE
"geraakt","red","BE",TRUE
"geërfd","green","BE",TRUE
"getekend","red","BE",TRUE
"gevolgd","green","BE",TRUE
"geweest","green","BE",TRUE
"gebeurd","green","BE",TRUE
"opgezet","red","BE",TRUE
"gevat","red","NL",TRUE
"gemaakt","red","NL",TRUE
"gedaan","red","BE",TRUE
"bekend","red","NL",TRUE
"vergeten","red","NL",TRUE
"vermoord","green","BE",TRUE
"gestorven","red","NL",TRUE
"geslapen","green","BE",TRUE
"gedacht","red","NL",TRUE
"ondernomen","red","BE",TRUE
"begonnen","green","BE",TRUE
"gedumpt","green","BE",FALSE
"gemaakt","red","NL",TRUE
"misbruikt","red","BE",TRUE
"geweten","green","BE",TRUE
"gestraft","green","NL",FALSE
"overleefd","red","NL",FALSE
"geleid","green","BE",TRUE
"ontgaan","green","BE",TRUE
"ondergaan","red","NL",TRUE
"vernederd","green","NL",TRUE
"gemarteld","red","NL",TRUE
"onteigend","red","BE",TRUE
"gemaakt","red","NL",TRUE
"gelegen","red","NL",TRUE
"vermoord","green","NL",TRUE
"gewonnen","green","BE",TRUE
"geweest","red","BE",TRUE
"gekomen","green","BE",TRUE
"gelopen","red","NL",TRUE
"meegekregen","red","BE",TRUE
"gezeten","red","NL",TRUE
"gemaakt","red","NL",TRUE
"geweest","red","NL",TRUE
"gezien","red","BE",TRUE
"gesteld","red","BE",TRUE
"afgerekend","red","BE",TRUE
"besmet","green","NL",TRUE
"gehad","red","NL",TRUE
"begeleid","green","BE",FALSE
"gezegd","red","BE",FALSE
"gemaakt","red","BE",TRUE
"gegaan","red","NL",TRUE
"vermoord","green","NL",TRUE
"gebracht","red","BE",TRUE
"geijverd","green","NL",TRUE
"verzonken","green","NL",TRUE
"gewonnen","green","NL",FALSE
"gemist","green","BE",TRUE
"gezegd","green","BE",TRUE
"gesproken","red","NL",TRUE
"genomen","red","NL",TRUE
"betaald","red","BE",TRUE
"gejaagd","red","NL",TRUE
"gehaald","red","BE",TRUE
"beslist","green","BE",TRUE
"ondervraagd","red","BE",TRUE
"gedacht","green","BE",TRUE
"gespeeld","green","BE",TRUE
"gelaten","red","BE",TRUE
"gemerkt","green","NL",TRUE
"ontslagen","green","BE",TRUE
"geweest","red","BE",TRUE
"teruggebracht","green","NL",TRUE
"aangekomen","green","BE",TRUE
"overgenomen","red","BE",TRUE
"gedaan","red","BE",TRUE
"gezien","red","BE",TRUE
"overkomen","red","NL",TRUE
"gekeken","green","BE",TRUE
"getest","green","BE",TRUE
"gevraagd","red","NL",TRUE
"gekregen","red","BE",TRUE
"gedaan","red","NL",TRUE
"achtergelaten","red","NL",TRUE
"gevraagd","green","BE",TRUE
"afgesloten","red","BE",TRUE
"bijgedragen","red","BE",TRUE
"vastgehouden","red","BE",TRUE
"gemaakt","red","NL",TRUE
"verzameld","red","NL",FALSE
"geweten","red","BE",TRUE
"overleden","red","NL",TRUE
"gemaakt","green","BE",FALSE
"geciteerd","green","BE",FALSE
"gezegd","green","NL",TRUE
"gezien","red","BE",TRUE
"ontmoet","red","NL",TRUE
"verklaard","red","BE",TRUE
"aangestoken","red","NL",TRUE
"gereden","red","BE",TRUE
"gekozen","red","NL",TRUE
"gesproken","red","BE",TRUE
"gemaakt","red","NL",TRUE
"gevonden","red","BE",FALSE
"verteld","green","NL",FALSE
"gehad","red","NL",TRUE
"geweest","red","NL",TRUE
"verlaten","green","BE",TRUE
"geïnformeerd","red","NL",TRUE
"geweest","red","BE",TRUE
"opgesteld","red","BE",TRUE
"gekomen","green","NL",FALSE
"gevonden","green","BE",TRUE
"gebleken","red","BE",TRUE
"gemerkt","red","NL",TRUE
"aangeklampt","red","BE",TRUE
"omringd","green","BE",TRUE
"gesmaakt","green","BE",TRUE
"gedownload","green","BE",FALSE
"geworden","green","BE",FALSE
"aangeslagen","red","BE",TRUE
"weggestuurd","red","NL",TRUE
"verteld","red","NL",TRUE
"gevoetbald","red","NL",TRUE
"geboren","green","BE",FALSE
"geraakt","red","BE",TRUE
"bevestigd","red","BE",TRUE
"gehaat","red","NL",TRUE
"gemeld","red","NL",TRUE
"gegroeid","red","BE",TRUE
"geformuleerd","green","NL",TRUE
"gedaan","red","BE",TRUE
"rondgeleid","red","NL",TRUE
"gezegd","red","NL",TRUE
"gevonden","red","BE",TRUE
"geperst","red","BE",TRUE
"gekomen","red","NL",TRUE
"gepraat","red","BE",TRUE
"gevonden","green","BE",TRUE
"gedaan","red","NL",TRUE
"overtuigd","red","BE",TRUE
"gewikkeld","green","BE",TRUE
"gescheiden","green","BE",TRUE
"verbeeld","red","BE",TRUE
"gestreden","red","NL",TRUE
"ontworpen","green","BE",TRUE
"geboren","green","NL",TRUE
"geselecteerd","green","BE",TRUE
"gevoerd","red","NL",TRUE
"gezien","red","BE",TRUE
"gecreëerd","red","BE",TRUE
"gestormd","red","BE",TRUE
"gegaan","red","NL",TRUE
"begrepen","red","NL",FALSE
"ondergaan","red","BE",TRUE
"verdrongen","red","NL",TRUE
"gemaakt","red","BE",FALSE
"doorgestoten","green","BE",TRUE
"geboren","green","BE",TRUE
"gewonnen","red","NL",TRUE
"gefilmd","red","BE",TRUE
"gestolen","red","NL",TRUE
"geobsedeerd","green","BE",TRUE
"gekregen","green","BE",TRUE
"begrepen","green","BE",TRUE
"beweerd","red","BE",FALSE
"gehad","red","NL",TRUE
"geïnformeerd","green","BE",TRUE
"gezeten","red","NL",TRUE
"gecontracteerd","green","NL",TRUE
"weggebracht","red","NL",TRUE
"gebracht","red","BE",TRUE
"gezet","red","BE",TRUE
"gestaan","red","NL",TRUE
"gegeven","red","NL",TRUE
"gedreven","red","BE",TRUE
"afgeremd","red","BE",TRUE
"overwogen","red","NL",TRUE
"meegevallen","red","BE",FALSE
"gekocht","red","BE",TRUE
"gezwegen","red","BE",TRUE
"gehouden","red","BE",TRUE
"gedaan","red","BE",TRUE
"gemaakt","red","NL",TRUE
"betaald","red","BE",TRUE
"beantwoord","red","BE",TRUE
"gesteld","green","BE",TRUE
"gepost","green","BE",FALSE
"gewonnen","green","BE",FALSE
"uitgebreid","green","NL",FALSE
"gevraagd","green","BE",TRUE
"begonnen","green","NL",TRUE
"geprobeerd","green","BE",TRUE
"geworden","red","NL",FALSE
"vermaakt","red","NL",TRUE
"gemaakt","red","BE",TRUE
"geweest","red","NL",TRUE
"genoemd","red","NL",TRUE
"vergoed","red","BE",TRUE
